item_type,storage,initial_quality,opened,temperature_variation,days_until_expiry
bakery,pantry,0.8830588026957503,1,0.9283770318624829,1
meat,pantry,0.9827114318405243,1,1.0977221009639044,0
grain,fridge,0.9364602789600118,1,0.9044331511781224,12
bakery,fridge,0.7072123712099313,0,0.9334147312703996,4
fruit,pantry,0.8602419088407092,0,1.0948349017317394,6
grain,fridge,0.9065015234639694,0,1.0256513187620009,24
grain,pantry,0.9246095435317465,0,0.9901334241213463,35
bakery,fridge,0.763942635794181,0,0.915752186609274,5
vegetable,pantry,0.9601532063354057,0,1.0339322323265754,3
fruit,fridge,0.9867529441525491,1,0.9275605975362536,4
bakery,pantry,0.7710145917534609,0,1.0342372244318363,2
fruit,pantry,0.9647846372551737,0,1.0958352994400118,7
fruit,fridge,0.7290936287548285,0,1.0063945317233907,6
grain,fridge,0.7167120508345736,0,0.9428169309005322,18
meat,pantry,0.7387671400308248,1,1.0250567501759198,0
fruit,fridge,0.7173223238401107,0,1.0025859375582566,6
canned,pantry,0.9535036711467327,1,1.0066280527221292,164
grain,fridge,0.7177150433374816,0,0.9956213892239995,21
vegetable,fridge,0.7814992574090966,0,1.0347481148487112,7
meat,pantry,0.7311269030607569,1,1.0143890724814004,0
canned,fridge,0.7886266108941294,0,1.0973990154908746,292
canned,fridge,0.7271678402802761,0,1.065172684208464,302
vegetable,pantry,0.9004009752229042,0,0.9529396755422014,3
meat,fridge,0.7399980449027725,0,1.0451513043809948,4
grain,pantry,0.9555537777516664,0,0.9428600698769469,31
dairy,pantry,0.9451573152179923,1,1.0564692816162784,1
meat,pantry,0.7040985056411828,0,0.9295115279954684,0
vegetable,pantry,0.9687179066545344,1,0.9947107667094477,1
canned,pantry,0.7086832950230101,0,1.058121239661215,261
grain,fridge,0.7718937354872669,0,0.9560225404613131,20
meat,pantry,0.7097167413327985,0,1.0674238250263326,0
dairy,pantry,0.8007530461117948,0,1.0288301418067944,1
dairy,fridge,0.8541599577139815,0,0.9795044658214432,7
fruit,fridge,0.9389934607045414,0,0.9846833418612544,8
fruit,fridge,0.8013944651409508,0,1.0851983067839712,6
bakery,pantry,0.911647007401935,1,0.9435582000024759,1
vegetable,pantry,0.756251337135694,0,1.038672523034942,3
meat,pantry,0.925179537023238,1,1.0414588411483072,0
meat,fridge,0.7707989817727712,0,1.0844899386367275,5
bakery,pantry,0.7430634267831303,0,1.0426328537514682,2
canned,fridge,0.7556226551122163,0,1.016893483611675,254
canned,pantry,0.7546189386645565,0,1.0805045078032587,283
bakery,fridge,0.8538588638130973,1,1.0658264059296796,3
canned,pantry,0.9534392743564438,0,1.0433552909668453,374
fruit,pantry,0.7238815230977517,0,0.9065156764784349,4
meat,pantry,0.9120868955480268,0,0.9747040836480724,0
bakery,fridge,0.8963039378958573,0,1.026377934440371,6
meat,fridge,0.9617559855488087,0,1.004450104871353,5
dairy,pantry,0.7732442681520721,1,0.9638636652995688,0
fruit,pantry,0.8350329576055089,0,0.9288847831019553,5
grain,pantry,0.9777482123330552,1,1.0105993165377845,16
fruit,fridge,0.8979980350405952,1,0.9571835151724426,3
bakery,pantry,0.816630523858479,0,0.9466000979617993,2
grain,pantry,0.7394237148565805,0,0.9797916454109867,24
dairy,pantry,0.7787455023701773,0,1.0570982866428538,1
bakery,pantry,0.874364643246815,0,0.9975707004732625,3
vegetable,fridge,0.9154503842681541,0,0.943298442099734,6
meat,fridge,0.737326566055568,1,0.9233806284560097,2
dairy,pantry,0.8798791780132161,0,0.99979745275496,1
meat,pantry,0.8651053836516253,0,1.0588732796844469,0
canned,fridge,0.8541866340072124,0,1.0305636047307882,339
vegetable,fridge,0.9070369353046024,0,0.94642977602865,6
vegetable,pantry,0.9512348785250385,1,0.9873413171378985,1
dairy,fridge,0.7968969049530605,0,1.0710460726688138,6
vegetable,fridge,0.9667036570332879,0,0.9355311815705678,6
grain,pantry,0.7481900837855652,0,1.0064161141365795,28
vegetable,fridge,0.7519071609253493,1,0.9712463017521683,2
meat,fridge,0.7800316190871771,0,0.9248359509659039,4
meat,pantry,0.7358592608641233,1,0.9099807841821796,0
bakery,pantry,0.7690957674048632,0,1.0111742769291592,2
meat,fridge,0.7319235288708533,0,0.9041497747480758,3
bakery,pantry,0.946525725095617,0,0.920689223338587,3
meat,fridge,0.7416906975659874,0,0.9695128562323483,4
grain,pantry,0.924189267267957,0,0.9087040370711525,29
bakery,fridge,0.714374160374,0,0.980089045290377,5
fruit,pantry,0.9845560982541746,0,0.9260730048353782,6
canned,fridge,0.9133480262583298,0,0.9699746181400308,319
dairy,fridge,0.7020389645758335,0,1.0582319374180138,6
meat,fridge,0.9291569500600642,0,1.0252728688953316,5
vegetable,pantry,0.8542245762298556,1,0.9890802155575019,1
meat,pantry,0.9338095511005359,0,0.9183666615710321,0
vegetable,fridge,0.8567490426671766,0,1.0238299318629467,6
canned,fridge,0.8923074572906063,0,0.9327419305018101,298
canned,pantry,0.9358994966185121,1,0.915317268772323,160
canned,pantry,0.821532416376357,1,1.0327992034919216,165
vegetable,pantry,0.7008124449461356,0,1.0824119795642015,3
meat,pantry,0.9549839487835565,0,0.9921186873541045,0
canned,pantry,0.8142671087873987,1,0.9081991821216229,123
grain,pantry,0.8488128178049749,1,1.0760595434837084,16
bakery,fridge,0.7023299926461906,0,0.9133947532247149,4
vegetable,pantry,0.8476276031050294,1,1.0735026485403174,1
vegetable,fridge,0.9959462204715188,0,0.9783638746445863,7
meat,pantry,0.7834802982456308,1,0.973078907724618,0
vegetable,pantry,0.8186254810727134,0,1.0085594758912904,3
vegetable,fridge,0.906156998940603,0,1.0914169634888438,7
canned,fridge,0.9444381002570976,0,1.0797481090171956,381
meat,pantry,0.8252174872018301,1,0.9940660176609535,0
canned,fridge,0.7929006611203877,1,1.0391646462047637,145
bakery,fridge,0.9813477399955202,0,1.0160858504686825,7
bakery,fridge,0.9031434900015007,0,1.0386923158126335,6
canned,fridge,0.7357063913479422,0,1.0658654920124195,303
bakery,pantry,0.7206783634403946,0,0.9068987657737188,2
meat,fridge,0.8450649552371107,0,0.9651519707855796,4
dairy,pantry,0.7660270198141816,0,1.0918658216467736,1
canned,pantry,0.776195426012876,1,1.089867261704985,166
grain,pantry,0.9633076536483545,0,0.9022441779954925,33
grain,pantry,0.7268698072948931,0,0.9402880259844733,22
vegetable,fridge,0.9146092345686668,0,1.0987540084688727,7
bakery,fridge,0.7813426760141764,0,0.9985650151798973,5
grain,pantry,0.9280984664212413,1,1.0145732007933705,15
vegetable,pantry,0.9167234153390633,0,0.9332840371044905,3
dairy,pantry,0.7022175704332879,0,1.078867121751706,1
meat,pantry,0.8527406238764798,0,0.9462528599298227,0
meat,fridge,0.7417958447134139,0,0.9379295260039073,4
meat,pantry,0.959868109173603,0,0.9456244806640657,0
grain,fridge,0.961475764858722,0,1.0839243405282017,33
dairy,pantry,0.8255037422481274,0,1.0405693414353698,1
grain,pantry,0.8333186855353242,0,1.0537192788980552,30
bakery,pantry,0.7909848818213581,0,0.9754072716368506,2
grain,pantry,0.9149818896880093,0,1.0818354029861124,38
dairy,fridge,0.8075984089079377,0,1.057881590467878,8
dairy,fridge,0.7803377423567901,0,1.0501194725014644,6
bakery,fridge,0.8296693178513525,1,1.0941880567345905,3
dairy,pantry,0.7274462555162375,0,0.9732393661586698,1
dairy,pantry,0.9239809613932611,0,1.0221947293591762,1
meat,fridge,0.703778920381536,0,1.0819859397954432,4
bakery,fridge,0.8933455184561782,0,1.0581777886371906,5
fruit,pantry,0.7548593580264616,0,1.012675791645123,5
fruit,pantry,0.7697212138643239,1,0.9152427369560397,2
dairy,fridge,0.890689599592012,0,1.0305446879111346,7
fruit,pantry,0.9978830397348721,0,1.0053111113735704,7
fruit,pantry,0.9333152467217652,0,0.9368360922969253,6
dairy,fridge,0.7677518896670176,1,1.0764506246685195,3
fruit,pantry,0.7528074265123401,0,0.9686497189797487,5
grain,fridge,0.9598698610803011,0,0.9774959787034594,27
vegetable,pantry,0.8332551843764513,1,1.0344803097592823,1
bakery,fridge,0.7411158408484466,1,0.9977597484082482,2
vegetable,pantry,0.9586634269965815,1,0.9178562152558299,1
dairy,fridge,0.9448277058742784,0,0.977488323471047,7
meat,fridge,0.9951719091691491,0,0.9188932235876467,5
bakery,fridge,0.9729231060138052,0,0.9381500806246763,6
